Plant_height,Days_to_heading,Yield_per_plant,Thousand-grain_weight,Number_of_tillers,Effective_tillers,Panicle_length,Total_spikelets,Seed_setting_rate,Number_of_spikelets_per_panicle,Grain_length,Grain_width
115.90 ,75.50 ,7.70 ,27.70 ,6.70 ,6.60 ,25.90 ,615.00 ,0.45 ,92.30 ,8.28 ,3.34 
97.50 ,77.50 ,9.70 ,30.10 ,9.30 ,7.80 ,23.60 ,622.70 ,0.53 ,66.70 ,8.32 ,3.34 
113.10 ,78.50 ,14.50 ,28.20 ,13.00 ,9.20 ,24.10 ,930.30 ,0.57 ,71.60 ,8.99 ,2.54 
113.10 ,75.50 ,11.50 ,27.40 ,6.70 ,8.60 ,23.40 ,738.00 ,0.63 ,110.70 ,8.86 ,2.73 
150.90 ,84.40 ,17.40 ,21.40 ,7.00 ,5.80 ,28.80 ,1654.70 ,0.48 ,NA,8.19 ,2.42 
120.90 ,78.50 ,20.30 ,33.10 ,14.00 ,6.40 ,27.40 ,860.30 ,0.72 ,61.50 ,9.09 ,3.30 
125.30 ,78.40 ,16.40 ,25.70 ,9.70 ,7.80 ,24.80 ,1049.00 ,0.62 ,108.50 ,8.32 ,2.89 
138.20 ,75.50 ,NA,26.50 ,NA,6.60 ,28.90 ,NA,0.65 ,141.60 ,7.78 ,2.65 
116.50 ,75.50 ,17.70 ,27.80 ,15.00 ,8.60 ,22.90 ,1036.00 ,0.62 ,69.10 ,8.99 ,3.40 
114.40 ,74.40 ,9.80 ,35.80 ,8.30 ,7.60 ,23.40 ,509.30 ,0.53 ,61.10 ,7.90 ,2.83 
130.70 ,73.40 ,15.60 ,26.20 ,11.70 ,9.20 ,25.20 ,996.30 ,0.59 ,85.40 ,8.42 ,2.69 
110.10 ,76.40 ,9.20 ,33.90 ,8.00 ,6.80 ,23.60 ,487.70 ,0.56 ,61.00 ,7.51 ,2.83 
126.90 ,83.50 ,11.20 ,27.10 ,10.00 ,7.80 ,22.60 ,787.70 ,0.52 ,78.80 ,8.86 ,3.00 
134.50 ,79.50 ,18.00 ,26.90 ,12.00 ,9.00 ,22.50 ,1043.70 ,0.64 ,87.00 ,8.45 ,2.72 
143.40 ,76.40 ,12.50 ,24.30 ,11.00 ,5.40 ,26.00 ,1157.70 ,0.43 ,105.20 ,8.12 ,2.76 
119.90 ,82.30 ,15.40 ,19.60 ,10.30 ,7.60 ,26.10 ,2278.00 ,0.33 ,220.50 ,8.64 ,2.45 
109.30 ,78.40 ,8.80 ,28.20 ,8.70 ,10.80 ,23.60 ,528.70 ,0.59 ,61.00 ,8.96 ,3.38 
127.70 ,73.40 ,13.50 ,30.50 ,9.30 ,6.60 ,24.00 ,544.30 ,0.82 ,58.30 ,8.86 ,2.93 
128.90 ,78.40 ,19.60 ,25.70 ,13.30 ,10.20 ,25.00 ,1239.30 ,0.62 ,92.90 ,8.32 ,2.68 
93.70 ,78.50 ,8.80 ,24.90 ,10.30 ,4.40 ,21.20 ,609.70 ,0.58 ,59.00 ,8.65 ,3.12 
100.50 ,78.40 ,9.90 ,23.40 ,11.70 ,9.00 ,25.70 ,895.30 ,0.49 ,76.70 ,8.14 ,2.85 
96.80 ,78.50 ,5.10 ,24.40 ,8.00 ,9.00 ,25.00 ,419.00 ,0.50 ,52.40 ,9.23 ,2.87 
137.10 ,78.50 ,8.30 ,22.10 ,7.30 ,6.40 ,28.80 ,906.30 ,0.39 ,123.60 ,7.90 ,2.94 
160.80 ,78.40 ,12.30 ,26.40 ,6.00 ,5.60 ,29.70 ,715.00 ,0.65 ,119.20 ,8.76 ,2.78 
156.30 ,75.50 ,15.90 ,24.90 ,8.30 ,4.60 ,28.90 ,1067.30 ,0.62 ,128.10 ,8.53 ,2.74 
105.40 ,75.50 ,6.20 ,24.70 ,7.00 ,7.00 ,26.10 ,627.00 ,0.40 ,89.60 ,7.84 ,2.75 
118.50 ,80.40 ,18.40 ,26.90 ,9.70 ,6.40 ,25.90 ,1207.00 ,0.59 ,124.90 ,8.48 ,2.63 
156.40 ,71.60 ,12.80 ,21.90 ,8.00 ,5.20 ,27.90 ,1227.30 ,0.45 ,153.40 ,8.48 ,2.29 
133.40 ,75.50 ,10.30 ,27.10 ,10.70 ,7.80 ,26.20 ,1143.00 ,0.35 ,107.20 ,8.08 ,2.74 
112.50 ,78.40 ,11.20 ,18.10 ,10.00 ,8.60 ,26.90 ,1955.70 ,0.32 ,195.60 ,8.69 ,2.13 
122.70 ,86.50 ,16.40 ,20.90 ,9.30 ,10.40 ,26.70 ,1819.00 ,0.44 ,194.90 ,8.79 ,2.06 
160.60 ,71.50 ,14.50 ,26.90 ,11.00 ,7.20 ,27.70 ,1154.70 ,0.46 ,105.00 ,8.73 ,2.54 
147.40 ,82.30 ,18.90 ,24.20 ,12.00 ,5.20 ,27.40 ,1631.00 ,0.43 ,135.90 ,8.90 ,2.71 
143.70 ,78.50 ,7.30 ,21.20 ,8.30 ,6.00 ,25.50 ,1019.30 ,0.32 ,122.30 ,8.21 ,2.46 
135.20 ,83.40 ,9.50 ,23.40 ,6.30 ,5.40 ,27.90 ,1237.00 ,0.40 ,195.30 ,7.70 ,2.54 
120.60 ,78.50 ,17.10 ,29.30 ,8.70 ,7.40 ,22.70 ,1134.30 ,0.53 ,130.90 ,7.87 ,2.56 
101.20 ,78.50 ,11.00 ,24.70 ,8.00 ,7.40 ,22.10 ,919.30 ,0.48 ,114.90 ,8.24 ,2.50 
98.70 ,95.50 ,7.20 ,NA,9.00 ,8.40 ,24.40 ,899.70 ,0.17 ,100.00 ,7.52 ,2.04 
120.60 ,78.50 ,11.60 ,NA,7.30 ,7.60 ,25.40 ,505.00 ,0.39 ,68.90 ,7.16 ,NA
96.90 ,86.40 ,9.70 ,18.50 ,9.00 ,8.00 ,24.30 ,1486.00 ,0.34 ,165.10 ,8.91 ,2.30 
123.30 ,83.50 ,18.40 ,25.10 ,9.30 ,7.40 ,25.10 ,1607.70 ,0.46 ,172.30 ,7.63 ,2.61 
88.30 ,96.50 ,5.10 ,NA,9.70 ,8.80 ,23.80 ,842.00 ,0.16 ,87.10 ,7.24 ,2.03 
143.00 ,78.40 ,11.90 ,25.20 ,8.30 ,6.60 ,27.20 ,858.30 ,0.55 ,103.00 ,8.14 ,2.73 
151.40 ,73.40 ,13.90 ,26.70 ,8.30 ,6.00 ,27.20 ,757.70 ,0.70 ,90.90 ,8.47 ,2.79 
148.90 ,72.40 ,10.40 ,24.70 ,7.00 ,5.40 ,28.60 ,674.50 ,0.63 ,96.40 ,8.26 ,2.72 
147.60 ,73.40 ,14.30 ,26.10 ,5.30 ,4.60 ,27.80 ,718.00 ,0.80 ,134.60 ,8.33 ,2.69 
